customer_id,week_start,logins,reports_run,features_used,support_tickets
C006,2024-05-13,18,3,1,2
C006,2023-03-27,13,5,8,0
C006,2024-12-02,28,7,4,1
C006,2024-03-04,18,5,5,1
C006,2023-09-11,20,6,1,0
C006,2024-03-18,23,6,6,0
C006,2024-11-11,10,7,7,0
C006,2024-10-21,13,9,4,0
C006,2023-08-14,18,8,6,0
C006,2024-12-23,15,6,5,0
C006,2024-09-09,15,5,5,2
C006,2024-09-16,28,4,2,0
C006,2024-01-01,23,5,6,1
C006,2024-10-28,14,4,9,0
C006,2023-11-13,17,9,7,1
C006,2023-06-05,17,5,3,1
C006,2024-03-25,20,3,9,0
C006,2023-07-17,25,7,7,0
C006,2024-11-18,25,3,6,1
C006,2023-04-17,16,8,7,0
C006,2024-01-15,15,3,6,0
C006,2023-08-21,18,3,2,0
C006,2023-10-23,21,8,4,1
C006,2024-03-11,17,7,5,1
C006,2024-02-12,16,8,5,0
C006,2024-10-14,19,4,6,0
C006,2023-09-04,18,5,3,0
C007,2023-03-06,15,9,8,0
C007,2023-02-06,31,2,9,0
C007,2023-08-14,19,4,1,1
C007,2023-04-03,20,5,6,0
C007,2023-03-13,31,5,5,0
C007,2024-02-19,19,2,2,0
C007,2023-02-20,18,1,2,2
C007,2024-11-11,24,8,4,2
C007,2023-12-25,21,7,1,1
C007,2024-01-29,16,5,1,0
C007,2024-05-27,14,3,2,1
C007,2023-09-11,16,5,9,0
C007,2024-02-05,16,8,4,1
C007,2024-06-17,23,2,7,0
C007,2023-05-08,19,5,7,0
C007,2024-08-12,17,6,1,1
C007,2023-01-30,14,4,3,0
C007,2024-05-06,19,5,6,1
C007,2024-05-13,18,8,5,0
C007,2023-05-15,20,3,8,0
C007,2024-05-20,21,4,7,0
C007,2024-08-05,28,4,6,1
C007,2024-07-29,24,6,6,0
C007,2023-05-22,26,5,6,0
C007,2023-07-17,26,6,7,0
C007,2024-12-30,17,7,3,0
C007,2024-06-03,19,4,7,2
C007,2024-07-15,25,6,3,0
C007,2024-09-02,11,11,5,1
C007,2023-08-07,17,2,5,0
C007,2024-11-18,20,5,8,2
C007,2024-09-23,19,4,4,0
C007,2023-12-18,19,3,5,0
C007,2024-04-01,18,2,8,1
C007,2023-01-16,16,5,4,0
C007,2024-10-28,18,5,4,1
C007,2024-04-15,22,3,7,0
C007,2023-07-24,16,6,1,0
C007,2023-10-30,27,6,2,0
C008,2023-06-19,16,2,9,0
C008,2024-10-07,15,3,9,0
C008,2023-10-16,17,8,2,0
C008,2024-04-01,25,5,3,1
C008,2023-02-20,12,7,9,1
C008,2023-08-21,14,2,8,0
C008,2023-09-18,24,6,6,0
C008,2023-02-06,19,7,8,2
C008,2023-04-10,19,5,7,0
C008,2024-07-15,15,5,7,0
C008,2024-03-11,23,5,6,1
C008,2024-08-19,23,5,6,0
C008,2024-08-12,29,5,7,0
C008,2024-07-29,15,7,1,1
C008,2023-11-06,32,2,2,0
C008,2024-11-04,20,7,9,0
C008,2023-03-27,18,1,3,0
C008,2023-06-12,23,4,1,0
C008,2023-07-03,30,8,6,1
C008,2023-03-13,29,7,9,0
C008,2024-12-09,22,2,6,1
C008,2023-03-06,24,6,3,0
C008,2024-10-14,12,7,2,1
C008,2023-01-30,17,0,9,0
C008,2024-11-25,13,4,2,1
C008,2024-11-18,17,4,7,0
C008,2023-06-05,15,8,3,1
C008,2023-10-02,24,7,2,0
C008,2024-11-11,13,5,3,0
C008,2024-05-13,21,5,4,1
C008,2023-03-20,22,9,8,0
C008,2024-09-09,17,3,6,1
C008,2024-05-27,8,4,6,0
C008,2024-07-22,14,6,5,0
C008,2023-05-08,26,6,8,2
C008,2024-02-26,24,3,3,0
C008,2024-09-02,11,3,6,0
C008,2024-07-08,28,4,3,0
C008,2024-10-21,14,5,4,0
C008,2023-10-23,18,4,6,0
C008,2024-06-03,14,8,8,1
C008,2023-09-11,28,4,8,1
C008,2023-04-03,23,5,5,1
C008,2023-11-13,15,4,9,0
C008,2023-02-27,27,8,3,1
C008,2023-07-31,21,4,8,0
C008,2024-03-04,18,9,6,0
C008,2023-04-24,17,5,5,1
C008,2024-01-29,25,4,5,0
C008,2024-10-28,20,9,6,1
C008,2023-07-17,20,6,4,1
C008,2024-06-24,18,5,4,0
C008,2023-11-20,12,4,6,0
C008,2024-12-02,19,5,4,1
C008,2023-10-30,19,4,7,0
C008,2024-04-08,19,3,2,0
C008,2023-05-22,18,7,5,0
C008,2024-09-30,30,5,3,1
C008,2024-09-23,25,7,1,0
C008,2024-03-18,24,4,9,1
C008,2023-10-09,16,6,4,0
C008,2023-04-17,17,8,6,0
C008,2024-12-30,21,3,4,0
C008,2023-05-01,21,6,7,1
C008,2024-04-29,21,2,1,1
C008,2023-12-25,18,9,5,1
C008,2024-05-20,18,5,1,0
C008,2024-04-15,17,4,1,1
C008,2024-08-05,17,5,2,0
C008,2024-01-01,20,8,5,0
C008,2023-05-29,16,7,9,1
C009,2023-02-13,34,4,1,2
C009,2024-10-28,19,5,8,0
C009,2023-10-02,19,6,8,0
C009,2024-02-05,20,5,7,0
C009,2023-08-21,19,3,7,1
C009,2024-02-26,16,6,7,0
C009,2024-05-27,22,7,2,0
C009,2023-10-16,5,5,8,0
C009,2024-01-08,20,2,6,0
C009,2023-11-20,19,4,1,0
C009,2023-08-07,24,3,9,0
C009,2024-12-02,15,5,9,0
C009,2023-02-27,26,5,6,0
C009,2024-10-21,21,5,1,0
C009,2023-09-11,15,6,4,1
C009,2024-06-03,19,4,7,0
C009,2023-01-02,21,7,1,1
C009,2023-10-23,15,5,1,1
C009,2023-11-27,18,2,4,1
C009,2024-08-19,29,6,1,0
C009,2024-07-08,28,6,4,0
C009,2023-09-18,21,6,4,0
C009,2024-07-15,28,2,9,1
C009,2024-07-01,31,4,3,0
C009,2024-12-16,23,4,5,1
C009,2023-11-06,17,5,9,2
C009,2024-05-06,20,1,2,0
C009,2024-02-12,16,2,6,0
C009,2023-10-09,20,4,8,1
C009,2024-03-04,26,9,3,0
C009,2024-12-09,19,6,1,1
C009,2023-05-15,20,1,5,0
C009,2023-06-05,18,9,6,1
C009,2024-04-29,17,4,1,3
C009,2024-08-12,19,1,4,1
C010,2024-11-18,14,2,3,0
C010,2024-02-19,34,5,4,0
C010,2023-05-08,20,3,9,1
C010,2024-05-27,24,2,2,1
C010,2024-01-22,33,9,3,0
C010,2023-12-11,15,6,6,1
C010,2023-08-28,20,6,6,2
C010,2023-11-20,22,7,5,1
C010,2024-03-04,26,8,9,1
C010,2024-01-01,14,6,8,0
C010,2024-09-30,19,5,2,0
C010,2024-06-17,20,6,3,0
C010,2023-02-06,17,5,7,1
C010,2023-07-17,26,4,7,2
C010,2023-02-13,14,6,7,0
C010,2023-05-29,21,7,2,1
C010,2024-04-29,11,6,1,0
C010,2023-07-31,19,2,8,1
C010,2024-06-24,10,3,7,0
C010,2024-10-21,12,5,1,0
C010,2023-02-20,21,7,2,1
C010,2024-09-16,19,5,2,0
C010,2023-01-02,19,1,8,1
C010,2024-12-16,22,5,6,0
C010,2023-04-24,23,6,7,1
C010,2024-04-01,31,5,6,0
C010,2024-11-25,18,6,8,0
C010,2023-08-21,22,5,2,0
C010,2024-12-23,17,3,3,1
C010,2024-02-12,20,5,7,1
C010,2024-02-26,25,2,6,1
C010,2023-08-07,22,6,7,0
C011,2023-11-13,19,5,5,4
C011,2024-12-09,15,8,6,0
C011,2023-01-09,29,5,7,0
C011,2023-02-27,18,11,5,0
C011,2023-02-20,16,6,2,1
C011,2024-10-07,19,7,9,0
C011,2024-11-04,20,8,6,1
C011,2023-10-16,30,6,1,1
C011,2023-01-30,20,4,7,0
C011,2024-05-20,26,4,2,0
C011,2024-10-14,27,4,5,0
C011,2023-04-10,27,7,9,1
C011,2024-12-30,22,2,4,0
C011,2023-08-21,20,5,9,1
C011,2023-02-13,18,6,6,0
C011,2023-10-02,15,6,6,0
C011,2024-10-21,22,10,7,1
C011,2023-02-06,21,6,9,0
C011,2023-03-27,26,6,7,0
C011,2024-01-08,10,4,7,0
C011,2023-04-17,19,7,6,0
C011,2023-03-20,28,7,6,0
C011,2023-06-19,20,6,2,0
C011,2024-01-15,23,4,1,0
C011,2024-09-02,21,1,7,3
C011,2023-07-24,22,8,2,1
C011,2024-11-18,22,6,1,0
C011,2024-01-29,22,0,6,1
C011,2023-05-08,15,7,3,0
C011,2024-08-12,19,6,2,0
C011,2023-09-25,19,5,4,0
C011,2023-05-15,16,6,3,0
C011,2024-04-29,22,2,4,0
C011,2024-08-19,22,7,8,1
C011,2024-03-04,34,2,8,1
C011,2023-03-13,18,2,6,1
C011,2023-06-12,21,4,1,0
C011,2023-09-18,24,7,7,1
C011,2024-07-08,9,6,7,0
C011,2024-02-19,16,2,1,0
C011,2023-11-06,34,3,5,1
C011,2023-07-31,21,4,8,0
C011,2024-11-11,15,6,8,2
C011,2024-09-09,16,5,3,2
C011,2024-03-11,20,7,4,0
C011,2024-05-06,17,6,2,0
C011,2024-06-24,16,4,8,0
C011,2023-10-09,18,3,4,1
C011,2024-12-02,20,5,4,0
C011,2024-06-17,19,1,8,1
C011,2024-09-16,21,7,1,0
C011,2023-11-27,19,3,9,0
C011,2023-05-29,22,5,4,1
C011,2024-03-25,32,6,7,0
C011,2023-07-03,21,11,6,1
C011,2023-12-11,20,3,9,0
C011,2023-04-03,24,7,6,0
C011,2023-12-04,23,7,9,1
C011,2024-08-05,24,4,9,1
C011,2023-06-26,26,3,6,0
C011,2024-05-13,28,6,2,0
C011,2024-04-01,19,5,7,1
C011,2024-02-26,22,5,8,0
C011,2023-09-04,17,6,1,0
C011,2023-08-14,24,3,1,1
C011,2023-07-17,22,2,4,3
C011,2023-09-11,18,7,3,0
C011,2024-07-15,19,3,5,1
C011,2023-01-16,22,3,6,1
C011,2024-06-03,22,7,1,1
C011,2024-02-12,24,2,3,0
C011,2024-02-05,22,4,9,1
C011,2024-09-30,21,1,3,0
C011,2023-08-28,21,2,5,2
C012,2023-08-07,20,4,8,1
C012,2023-11-13,17,5,3,1
C012,2024-03-25,11,6,7,2
C012,2023-08-28,11,8,9,0
C012,2024-08-26,21,1,4,0
C012,2024-06-24,23,3,9,2
C012,2023-07-10,19,5,1,0
C012,2024-08-12,26,6,9,0
C012,2024-09-23,25,7,3,0
C012,2023-04-10,16,4,1,1
C012,2024-04-22,18,3,5,0
C012,2024-09-16,20,5,4,0
C012,2023-06-19,19,3,6,0
C012,2024-01-22,23,7,9,0
C012,2024-09-02,17,4,8,0
C012,2023-07-24,24,3,9,0
C012,2024-11-25,15,8,4,2
C012,2024-12-02,18,5,9,0
C012,2024-02-19,27,8,4,0
C012,2024-05-13,17,3,3,1
C012,2023-06-05,19,5,4,0
C012,2023-05-15,22,4,5,2
C012,2023-09-04,19,7,8,2
C012,2023-07-17,22,9,6,1
C012,2023-12-04,20,6,7,0
C012,2024-11-11,19,7,2,0
C012,2023-12-18,19,5,3,1
C012,2024-10-14,20,2,1,0
C012,2024-03-18,14,5,6,0
C012,2024-12-23,21,2,6,0
C012,2024-06-03,20,6,6,0
C012,2023-03-06,23,9,5,1
C012,2024-04-29,29,5,8,0
C012,2024-05-20,18,4,2,1
C013,2023-04-10,14,5,3,0
C013,2024-08-12,23,5,4,0
C013,2024-09-02,21,2,2,2
C013,2023-01-16,20,6,7,0
C013,2023-03-13,25,5,7,1
C013,2024-07-01,13,4,8,1
C013,2024-02-19,17,4,9,0
C013,2023-01-23,20,2,2,1
C013,2023-03-06,22,6,1,0
C013,2024-06-10,25,4,6,1
C013,2024-10-21,21,4,6,1
C013,2023-12-04,13,6,7,0
C013,2023-03-27,21,5,6,1
C013,2023-06-12,25,2,9,2
C013,2023-10-23,15,5,4,1
C013,2023-08-21,18,9,3,1
C013,2024-03-04,22,5,1,0
C013,2023-10-09,22,5,9,1
C013,2024-10-28,13,5,4,0
C013,2024-02-05,20,6,9,0
C013,2024-05-06,20,6,9,0
C013,2023-08-14,19,5,7,0
C013,2023-02-13,18,9,9,1
C013,2023-07-03,20,6,6,0
C013,2024-10-14,18,4,5,0
C013,2024-08-26,8,8,3,0
C013,2024-12-23,15,7,1,1
C013,2023-12-11,19,9,7,1
C013,2024-01-22,23,7,5,0
C013,2023-12-18,15,5,2,0
C013,2024-04-01,20,8,3,2
C013,2024-06-17,17,3,5,0
C013,2023-05-01,21,2,9,0
C013,2024-09-16,14,3,1,2
C013,2024-11-25,28,8,3,0
C013,2023-05-15,15,5,3,0
C013,2023-09-18,18,4,1,0
C013,2024-02-26,25,4,3,0
C013,2024-05-20,28,2,5,0
C013,2024-03-25,20,3,9,1
C013,2024-09-09,16,6,8,1
C013,2023-08-07,17,4,7,0
C013,2024-04-29,22,14,6,3
C013,2024-11-04,13,5,6,0
C013,2023-08-28,18,4,8,2
C013,2024-01-29,16,6,6,1
C013,2023-06-05,24,6,4,2
C013,2023-02-20,18,6,7,0
C013,2024-05-13,25,6,3,2
C013,2023-05-08,21,6,2,0
C013,2023-07-17,21,5,7,0
C013,2023-11-06,22,5,3,0
C013,2024-04-15,17,4,9,1
C013,2024-01-15,11,5,8,0
C013,2023-12-25,21,9,1,0
C013,2024-07-22,21,3,7,1
C013,2023-10-16,21,4,8,1
C013,2024-11-18,18,3,1,0
C013,2023-04-03,19,6,1,0
C013,2023-10-02,17,6,7,0
C013,2024-06-03,20,6,7,0
C013,2024-09-30,21,5,1,0
C013,2023-01-30,15,4,2,0
C013,2024-07-08,19,6,5,0
C013,2023-04-17,15,1,9,1
C014,2023-08-21,23,8,5,0
C014,2024-07-15,20,9,7,0
C014,2023-07-10,21,4,2,1
C014,2023-10-23,20,3,5,1
C014,2023-07-17,28,5,1,1
C014,2023-05-15,19,5,7,0
C014,2023-12-18,18,2,3,0
C014,2024-06-24,17,8,4,0
C014,2023-09-11,19,9,6,1
C014,2024-08-12,16,3,2,1
C014,2023-08-07,15,4,5,1
C014,2024-04-22,23,2,4,0
C014,2024-09-02,20,11,1,0
C014,2024-09-23,22,4,8,1
C014,2023-02-13,15,8,9,0
C014,2024-12-09,24,2,9,1
C014,2023-02-27,28,5,9,1
C014,2024-05-20,20,8,5,1
C014,2023-06-19,20,8,1,1
C014,2024-11-25,24,6,7,1
C014,2024-04-29,23,6,9,2
C014,2024-01-01,22,3,9,0
C014,2023-04-03,16,1,1,1
C014,2023-06-05,25,5,7,0
C014,2024-04-15,24,8,9,0
C014,2023-12-04,22,2,8,0
C014,2024-03-18,19,2,2,0
C014,2023-09-25,21,7,1,0
C014,2023-11-06,16,6,8,1
C014,2024-01-29,13,6,8,0
C014,2024-06-03,23,7,2,0
C014,2024-12-02,23,3,5,1
C014,2023-11-27,18,7,7,0
C014,2023-09-18,18,6,7,1
C014,2024-02-26,27,4,9,2
C014,2023-01-23,18,1,6,0
C014,2023-07-03,32,3,9,0
C014,2023-06-12,21,7,4,0
C014,2023-12-25,14,4,3,2
C014,2023-03-27,27,6,7,0
C014,2023-11-13,16,10,4,1
C014,2023-10-09,17,2,6,1
C014,2023-01-16,19,3,9,2
C014,2023-02-06,17,5,4,0
C014,2024-01-22,17,3,7,0
C014,2024-05-13,22,4,2,0
C014,2023-08-28,26,7,9,0
C014,2023-03-06,14,5,8,1
C014,2024-11-04,22,7,8,0
C014,2023-04-24,17,6,8,0
C014,2024-12-23,19,5,3,0
C014,2024-08-05,24,7,3,0
C014,2024-07-01,15,7,2,0
C014,2023-05-29,15,4,8,0
C014,2024-01-08,20,8,3,0
C014,2023-04-17,22,7,3,0
C014,2024-11-11,19,5,9,0
C014,2024-05-27,16,2,8,1
C014,2024-10-21,16,7,3,1
C014,2023-01-09,28,8,9,1
C014,2024-01-15,11,7,8,0
C014,2023-03-13,18,1,3,0
C014,2023-01-02,27,5,2,0
